FBndID,n,MLRA,HUC12,radial,IWAP,practice,opArea_ha,sumDC,sumOC,sumTC,sumDCcp,sumTCcp,sum_BioMg,DC_BioMg,DCcp_BioMg,TC_BioMg,TCcp_BioMg,sumEnergyPot,DC_MMBtu,DCcp_MMBtu,TC_MMBtu,TCcp_MMBtu,sum_patch_ha,sum_lin_ha,sum_wh_ha,sum_rye_ha,DC_pha,DC_lha,DC_wha,DCcp_pha,DCcp_lha,DCcp_wha,TC_pha,TC_lha,TC_wha,TCcp_pha,TCcp_lha,TCcp_wha,sumCO2,DC_CO2,DCcp_CO2,TC_CO2,TCcp_CO2,sumN2Ored,DC_N2Ored,DCcp_N2Ored,TC_N2Ored,TCcp_N2Ored,sumNO3red,DC_NO3red,DCcp_NO3red,TC_NO3red,TCcp_NO3red,sumSEDred,DC_SEDred,DCcp_SEDred,TC_SEDred,TCcp_SEDred
F070600060901_100,1,105,070600060901,32,,,2.6378645838318797,1127.665771,1083.732422,2165.77002,1127.665771,2211.398193,19.987296787584,0.017724486546984143,0.017724486546984143,0.009228725396976362,0.009038307461248793,256.8210144,4.390862537610162,4.390862537610162,8.432993791648226,8.610659054386165,2.6378645838318797,0,2.6378645838318797,0,427.4919106582425,Inf,Inf,427.4919106582425,Inf,Inf,821.0315394029461,Inf,Inf,838.3289296024531,Inf,Inf,6.387933731,176.53059948439216,176.53059948439216,339.04077769149916,346.18364656294204,1.825123906,617.8571039987244,617.8571039987244,1186.6427330660365,1211.6427743509048,80.12590969362239,14.073671990893557,14.073671990893557,27.029584166735322,27.599040078992275,0,Inf,Inf,Inf,Inf
F070600060901_101,1,105,070600060901,32,,,1.859712125365794,795.0119019,599.2459717,1394.257813,795.0119019,1394.2578736,14.091177677472,0.017724486443278994,0.017724486443278994,0.01010657967707727,0.010106579237805067,181.0605164,4.390862887763198,4.390862887763198,7.700507215608493,7.70050755030322,0,1.859712125365794,1.859712125365794,0,Inf,427.4919171931656,427.4919171931656,Inf,427.4919171931656,427.4919171931656,Inf,749.7170094138941,749.7170094138941,Inf,749.7170419995826,749.7170419995826,4.503535748,176.53060759050513,176.53060759050513,309.59181652309155,309.5918299791855,1.286724567,617.8570941204389,617.8570941204389,1083.5713009278386,1083.571348024165,127.00576,6.259652333091035,6.259652333091035,10.977910080613666,10.977910557757381,41077.7754627298,0.019353820720436062,0.019353820720436062,0.03394190160723337,0.033941903082483654
F070600060901_102,1,105,070600060901,32,,,5.779312716795459,2470.609619,1908.796021,4279.438477,2470.609619,4379.40564,43.790284867392,0.0177244857020821,0.0177244857020821,0.010232717470468266,0.009999138802632588,562.6705933,4.390863230491843,4.390863230491843,7.605584027239762,7.783249546266985,5.779312716795459,0,5.779312716795459,0,427.49194239309395,Inf,Inf,427.49194239309395,Inf,Inf,740.4753275529417,Inf,Inf,757.7727412591568,Inf,Inf,13.99536037,176.53061826803105,176.53061826803105,305.775511588345,312.91839039654536,3.998674393,617.8571636952986,617.8571636952986,1070.214290138627,1095.2143659575036,175.56478521077761,14.072352926777787,14.072352926777787,24.375266781787925,24.944670052950663,37552.328924647794,0.06579111575096995,0.06579111575096995,0.11395933619954936,0.11662141245054816
F070600060901_11,1,105,070600060901,32,,,5.74072425557658,2454.113281,1896.050781,4350.164063,2454.113281,4350.164062,43.49789434368,0.017724485124808714,0.017724485124808714,0.009999138817234075,0.009999138819532643,558.9136353,4.390863142357837,4.390863142357837,7.783249125180181,7.783249123390996,0,5.74072425557658,5.74072425557658,0,Inf,427.49192815106164,427.49192815106164,Inf,427.49192815106164,427.49192815106164,Inf,757.7726902270598,757.7726902270598,Inf,757.7726900528658,757.7726900528658,13.90191364,176.53060899031738,176.53060899031738,312.9183633023921,312.91836323045953,3.971975327,617.8571312661127,617.8571312661127,1095.2142712038553,1095.2142709520915,454.952776,5.394215422921169,5.394215422921169,9.561792547453322,9.56179254525529,28091.523164433598,0.08736134621945771,0.08736134621945771,0.15485682415781926,0.15485682412222132
F070600060901_12,2,105,070600060901,32,,,10.78379532699309,5898.9382938,4033.0721132999997,6319.77649,5898.9382938,6319.7765201,49.296394215936,0.008356824865882783,0.008356824865882783,0.007800338238850595,0.007800338201698937,599.9013824,9.833180030691658,9.833180030691658,10.534692326790012,10.534692376964925,0,1.632547095647132,1.632547095647132,9.151248231345958,Inf,3613.334224493962,3613.334224493962,Inf,3613.334224493962,3613.334224493962,Inf,3871.114350606148,3871.114350606148,Inf,3871.1143690435947,3871.1143690435947,11.189651966,527.1779955019201,527.1779955019201,564.7875831350947,564.78758582508,2.260210633,2609.9064430868025,2609.9064430868025,2796.100680940386,2796.1006942577287,253.06517549755358,23.309956742179352,23.309956742179352,24.972920424845633,24.972920543787325,105997.2368738634,0.0556518119507184,0.0556518119507184,0.0596220871070491,0.05962208739101876
F070600060901_13,2,105,070600060901,32,,,18.487400248361407,10155.550415,6967.5368653000005,10939.833862,10155.550415,10939.8338623,83.441045791152,0.008216299696361855,0.008216299696361855,0.007627268095998075,0.0076272680957889145,1013.5811158,10.019474767921677,10.019474767921677,10.793249490807058,10.793249491103039,0,2.496370600163726,2.496370600163726,15.991029648197681,Inf,4068.1261084928424,4068.1261084928424,Inf,4068.1261084928424,4068.1261084928424,Inf,4382.295585952865,4382.295585952865,Inf,4382.295586073039,4382.295586073039,18.689979079,543.3687417237799,543.3687417237799,585.3315199422541,585.3315199583054,3.702957988,2742.5508061151677,2742.5508061151677,2954.349981137296,2954.349981218312,384.59983734069283,26.40549846619887,26.40549846619887,28.444717859589442,28.444717860369476,149302.4004409306,0.06802000761546965,0.06802000761546965,0.07327299380111568,0.07327299380312503
F070600060901_335,1,105,070600060901,32,,,2.063833530942746,1172.963013,399.0114136,1172.963013,1172.963013,1172.963013,8.3278332639936,0.007099825972085958,0.007099825972085958,0.007099825972085958,0.007099825972085958,99.44686127,11.794872135937851,11.794872135937851,11.794872135937851,11.794872135937851,0,0,0,2.063833530942746,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.63194859,718.7499779021839,718.7499779021839,718.7499779021839,718.7499779021839,0.254991949,4600.000186672561,4600.000186672561,4600.000186672561,4600.000186672561,1.73402779856776,676.43841348381045,676.43841348381045,676.43841348381045,676.43841348381045,0,Inf,Inf,Inf,Inf
F070600060901_336,1,105,070600060901,32,,,6.25733091989022,2674.958496,2318.709717,4993.667969,2674.958496,4993.668213000001,47.412263839248,0.01772448578553497,0.01772448578553497,0.00949447663192202,0.009494476168004074,609.2102051,4.390862913336972,4.390862913336972,8.196953903916144,8.196954304434716,0,6.25733091989022,6.25733091989022,0,Inf,427.49193390061754,427.49193390061754,Inf,427.49193390061754,427.49193390061754,Inf,798.0508035984791,798.0508035984791,Inf,798.050842592741,798.050842592741,15.15294361,176.53061773652308,176.53061773652308,329.55101645758714,329.5510325600691,4.32941246,617.8571620778307,617.8571620778307,1153.428557601555,1153.4286139602418,476.725192,5.611112105860771,5.611112105860771,10.474940390815345,10.474940902640617,29598.231827916,0.0903756180961146,0.0903756180961146,0.16871507723951773,0.16871508548325345
F070600060901_337,1,105,070600060901,32,,,16.256154060009138,6949.374512,6940.537109,13608.72266,6949.374512,13889.911621,123.1740916056,0.017724486051644815,0.017724486051644815,0.00905111336919552,0.008867881593960215,1582.689941,4.390862879692745,4.390862879692745,8.598476749906885,8.776141972712518,16.256154060009138,0,16.256154060009138,0,427.4919200658765,Inf,Inf,427.4919200658765,Inf,Inf,837.1428204828634,Inf,Inf,854.4402058276379,Inf,Inf,39.36640167,176.5306001360017,176.5306001360017,345.69384253300484,352.8367092688865,11.24754333,617.8571007114316,617.8571007114316,1209.928449326543,1234.9284829116546,493.81794696316,14.072745947644629,14.072745947644629,27.55817755043083,28.127595820320032,100438.817981448,0.06919012640395286,0.06919012640395286,0.1354926604424363,0.1382922648847341
F070600060901_338,1,105,070600060901,32,,,7.142557231355339,3053.385498,1898.746948,4828.584961,3053.385498,4952.132446,54.11968973208,0.017724486399614124,0.017724486399614124,0.011208188355221943,0.010928562659060998,695.3953247,4.390862851022559,4.390862851022559,6.943654622761659,7.121319730092226,7.142557231355339,0,7.142557231355339,0,427.4919190840846,Inf,Inf,427.4919190840846,Inf,Inf,676.0302794358918,Inf,Inf,693.327653611297,Inf,Inf,17.29663467,176.5306116626212,176.5306116626212,279.1632622833214,286.30612488966904,4.941895962,617.8570980608596,617.8570980608596,977.0713503741703,1002.0713677662807,216.96942378063918,14.072883841398037,14.072883841398037,22.25467937768874,22.824102860717893,70382.8535069902,0.04338251926226247,0.04338251926226247,0.06860456375955885,0.07035992715907959
